word,weight
berkeberatan,-4.0
berkecai,-5.0
berkecambah,3.0
berkecamuk,-4.0
berkecandan,-4.0
berkecenderungan,-3.0
berkecukupan,4.0
berkedudukan,4.0
berkegiatan,4.0
berkeinginan,3.0
berkejaran,-3.0
berkekuatan,5.0
berkelakar,-4.0
berkelir,-3.0
berkelok-kelok,-2.0
berkelompok-kelompok,-4.0
berkeluarga,-1.0
berkemal,-4.0
berkemam,-3.0
berkemandang,-3.0
berkemas-kemas,-2.0
berkemih,-3.0
berkenaan,4.0
berkenalan,-3.0
berkenan,2.0
berkepercayaan,4.0
berkeping-keping,-5.0
berkerak,-2.0
berkeras-kerasan,-4.0
berkerubung,-4.0
berkerumun,-4.0
berkerut,-2.0
berkesesuaian,3.0
berketar-ketar,-3.0
berketurunan,2.0
berkeyakinan,3.0
berkhasiat,4.0
berkhianat,-5.0
berkilah,-4.0
berkinte,3.0
berkisar,-3.0
berkobar-kobar,1.0
berkolusi,-5.0
berkomplot,-4.0
berkongkalikong,-4.0
berkonspirasi,-4.0
berkorban,-3.0
berkualitas,4.0
berkuasa,4.0
berkuat,-0.5
berkukuh,2.0
berkuliah,-4.0
berkumandang,-3.0
berkunjung,-4.0
berkupak,-3.0
berkurang,-3.0
berkurangan,-3.0
berkurap,-4.0
berlaba,4.0
berlabuh,-0.5
berlaga,-4.0
berlagak,4.0
berlagu,4.0
berlainan,-4.0
berlalu,-5.0
berlama-lama,-2.0
berlandaskan,-4.0
berlangau,-4.0
berlangganan,2.0
berlanggaran,-4.0
berlanglang,4.0
berlara-lara,-4.0
berlarasan,3.0
berlarat-larat,-4.0
berlarian,-5.0
berlatih,4.0
berlawanan,-4.0
berlebih,-1.0
berlebih-lebih,-4.0
berlelehan,-3.0
berlengkesa,-3.0
berlepasan,-3.0
berlevel,4.0
berlezat,2.0
berlibat,3.0
berlibat-libat,-4.0
berlik,-4.0
berliku-liku,-4.0
berlilit,3.0
berlimpah,1.0
berlinang,-3.0
berlipat,-3.0
berlompatan,-5.0
berlubang,-3.0
berluruhan,-3.0
berlutut,-2.0
bermacam-macam,3.0
bermain-main,-2.0
bermakna,4.0
bermanfaat,5.0
bermartabat,4.0
bermaslahat,2.0
bermesraan,-3.0
bermetamorfosis,-3.0
bermohon,0.5
bermoral,-4.0
bermotif,-3.0
bermukah,-4.0
bermukim,-1.0
bermula,-4.0
bermusuhan,-4.0
bermutu,1.0
bernafsu,3.0
bernama,4.0
bernapaskan,3.0
bernas,-0.5
bernilai,2.0
bernoda,-4.0
bernuansa,-3.0
bernyali,1.0
bernyanyi,2.0
berogak-ogak,-4.0
beroleh,3.0
berolok-olok,-4.0
berombongan,-4.0
berona,-3.0
berongga,-3.0
beroperasi,-1.5
berpacangan,3.0
berpacaran,0.0
berpada-pada,-3.0
berpadu,-3.0
berpakaian,4.0
berpalit-palit,-4.0
berpamor,3.0
berpandangan,1.0
berparade,1.0
berparak,-4.0
berpartai,-3.0
berpartisipasi,3.0
berpasangan,-3.0
berpasrah,0.5
berpasuk,-3.0
berpatokan,4.0
berpatroli,4.0
berpaut,3.0
berpedoman,4.0
berpegang,4.0
berpelajaran,4.0
berpembawaan,1.0
berpencar,-5.0
berpencaran,-3.0
berpendidikan,3.0
berpengalaman,1.5
berpengaruh,0.5
berpengetahuan,4.0
berperai-perai,-5.0
berperang,-0.5
berperingkat,4.0
berpijar,-3.0
berpilin,3.0
berpiuh,3.0
berpola,4.0
berpoleng,-3.0
berprakarsa,3.0
berprasangka,-1.0
berproses,-1.0
berpuak-puak,-4.0
berpuaka,-3.0
berpucuk,-4.0
berpulas,3.0
berpunya,4.0
berpura-pura,-4.0
berpusu,-3.0
berputar-putar,-4.0
berputra,3.0
bersaba,-3.0
bersagang,4.0
bersahabat,2.0
bersahaja,5.0
bersaji,4.0
bersalah,-4.0
bersalahan,-4.0
bersalin,3.0
bersama,3.0
bersamamu,3.0
bersambang,4.0
bersandarkan,-4.0
bersanding,-5.0
bersangga,4.0
bersanggama,1.5
bersanggit,-5.0
bersangkal,-5.0
bersangkut,-1.5
bersara,-3.0
bersatu,-1.0
bersauh,4.0
bersaur,3.0
bersayap,4.0
bersebaran,-5.0
bersebelahan,-4.0
berseberangan,-3.0
bersedia,-1.0
bersedih,-5.0
bersekolah,3.0
bersekongkol,-4.0
bersekutu,-5.0
berselang,-3.0
berselawat,0.0
berselingkuh,-5.0
berselisih,-5.0
berseloroh,-4.0
berseluk,3.0
bersemangat,1.5
bersemayam,0.5
bersembahyang,1.0
bersemi,3.0
bersempena,-3.0
bersempuras,-3.0
bersenandung,4.0
bersendel,4.0
bersendeng,4.0
bersender,4.0
bersendi,-4.0
bersendikan,-4.0
bersengaja,-2.0
bersengat,5.0
bersengketa,-4.0
berseni,4.0
bersentuh,-5.0
bersepai,-5.0
berserah,-1.0
berserakan,-5.0
berseri,4.0
berserikat,-3.0
bersesak-sesak,-3.0
bersesal,-1.5
bersesuaian,3.0
berseteru,-4.0
bersetuju,3.0
bersiap,1.0
bersikukuh,-1.5
bersila,-1.0
bersilih,-3.0
